,CustomerID,Total Revenue,Total Orders,Average Order Value,Purchase Frequency,Customer Value,Total Profit,Churn Value,Customer Lifetime Value,Recency,Frequency,Monetary Value,R,F,M,RFM Score,Segment,Most Purchased Item,Most Purchased Item Description,RFM CLV
0,12346,77183.6,1,77183.6,5.394907207596029e-05,4.163983599482089,3859.18,12.093390119245504,46670.56928038987,325,1,77183.6,1,1,5,115,At Risk,23166,MEDIUM CERAMIC TOP STORAGE JAR,0.8999999999999999
1,12347,4310.0,7,615.7142857142857,0.0003776435045317,0.2325205006473888,215.5,0.6753055236338824,145.52834034310166,1,182,4309.959999999999,5,5,5,555,Champions,23076,ICE CREAM SUNDAE LIP GLOSS,3.5999999999999996
2,12348,1797.2400000000002,4,449.31000000000006,0.0002157962883038,0.0969594302977989,89.86200000000002,0.2815977028528443,25.3049327737623,74,31,1797.2399999999998,2,3,4,234,At Risk,23077,DOUGHNUT LIP GLOSS,2.0999999999999996
3,12349,1757.5500000000009,1,1757.5500000000009,5.394907207596029e-05,0.094818191627104,87.87750000000005,0.2753789380655987,24.199612629859672,18,73,1757.5099999999998,4,4,4,444,Champions,21232,STRAWBERRY CERAMIC TRINKET POT,3.0
4,12350,334.3999999999999,1,334.3999999999999,5.394907207596029e-05,0.0180405697022011,16.719999999999995,0.0523949343626845,0.8760433025440848,309,17,334.40000000000003,1,2,2,122,Lost,22348,TEA BAG PLATE RED RETROSPOT,1.2
5,12352,2506.040000000002,8,313.2550000000002,0.0004315925766076,0.1351985325852396,125.30200000000008,0.3926549082244677,49.20044531034229,35,85,2505.990000000001,3,4,5,345,Loyal Accounts,84050,PINK HEART SHAPE EGG FRYING PAN,3.0
6,12353,89.0,1,89.0,5.394907207596029e-05,0.0048014674147604,4.45,0.0139448240379154,0.0620544669687236,203,4,89.0,1,1,1,111,Lost,37446,MINI CAKE STAND WITH HANGING CAKES,0.8999999999999999
7,12354,1079.4,1,1079.4,5.394907207596029e-05,0.0582326283987915,53.970000000000006,0.1691240793991676,9.12762656517308,231,58,1079.16,1,4,4,144,At Risk,21240,BLUE POLKADOT CUP,2.0999999999999996
8,12355,459.4,1,459.4,5.394907207596029e-05,0.0247842037116961,22.97,0.0719803613822286,1.6533889009497924,213,13,459.4,1,1,2,112,Lost,23076,ICE CREAM SUNDAE LIP GLOSS,1.2
9,12356,2811.43,3,937.1433333333332,0.0001618472162278,0.151674039706517,140.5715,0.4405044566844561,61.92237223281902,22,59,2811.4300000000003,4,4,5,445,Champions,84991,60 TEATIME FAIRY CAKE CASES,2.6999999999999997
10,12357,6207.670000000002,1,6207.670000000002,5.394907207596029e-05,0.3348980362537765,310.38350000000014,0.9726389419713094,301.89107904535206,32,131,6205.909999999998,4,5,5,455,Champions,22632,HAND WARMER RED RETROSPOT,3.3
11,12358,1168.0599999999995,2,584.0299999999999,0.0001078981441519,0.0630157531290461,58.40299999999999,0.1830156310755899,10.688661901707675,1,19,1168.06,5,2,4,524,Promising,15056N,EDWARDIAN PARASOL NATURAL,2.6999999999999997
12,12359,6372.580000000001,4,1593.1450000000002,0.0002157962883038,0.3437947777298231,318.6290000000001,0.9984776041296536,318.1439205262275,57,245,6309.910000000004,3,5,5,355,Loyal Accounts,22423,REGENCY CAKESTAND 3 TIER,3.0
13,12360,2662.059999999999,3,887.353333333333,0.0001618472162278,0.1436156668105308,133.10299999999995,0.4171006548131815,55.517348457598885,51,129,2661.819999999999,3,5,5,355,Loyal Accounts,22492,MINI PAINT SET VINTAGE,3.0
14,12361,189.9,1,189.9,5.394907207596029e-05,0.0102449287872248,9.495,0.0297541807280914,0.2825159460132286,286,10,189.90000000000003,1,1,1,111,Lost,22555,PLASTERS IN TIN STRONGMAN,0.8999999999999999
15,12362,5226.230000000001,10,522.6230000000002,0.0005394907207596,0.281950258955546,261.3115000000001,0.8188635700188182,213.97846777697248,2,266,5225.910000000004,5,5,5,555,Champions,22629,SPACEBOY LUNCH BOX,3.5999999999999996
16,12363,551.9999999999999,2,275.99999999999994,0.0001078981441519,0.02977988778593,27.599999999999994,0.0864892457183069,2.3871031818252715,109,23,551.9999999999998,2,2,3,223,About to Sleep,22952,60 CAKE CASES VINTAGE CHRISTMAS,1.7999999999999998
17,12364,1313.1000000000004,4,328.2750000000001,0.0002157962883038,0.0708405265429434,65.65500000000002,0.2057409937549074,13.507924944978454,7,85,1312.9000000000003,5,4,4,544,Champions,23310,BUBBLEGUM RING ASSORTED,2.9999999999999996
18,12365,641.3799999999999,2,320.68999999999994,0.0001078981441519,0.0346018558480794,32.069,0.1004936094543618,3.222729561591928,290,22,641.34,1,2,3,123,At Risk,22128,PARTY CONES CANDY ASSORTED,2.0999999999999996
19,12367,168.9,1,168.9,5.394907207596029e-05,0.0091119982736296,8.445,0.026463828988808,0.223487035810484,3,11,168.9,5,1,1,511,New Active Accounts,16237,SLEEPING CAT ERASERS,1.8
20,12370,3545.69,4,886.4225,0.0002157962883038,0.1912866853690116,177.2845,0.5555508218314201,98.4905496729724,50,166,3541.8599999999983,3,5,5,355,Loyal Accounts,84568,GIRLS ALPHABET IRON ON PATCHES,3.3
21,12371,1887.960000000001,2,943.9800000000004,0.0001078981441519,0.10185369011653,94.39800000000004,0.2958120223665488,27.924063287357487,44,63,1887.92,3,4,4,344,Loyal Accounts,72741,GRAND CHOCOLATECANDLE,2.6999999999999997
22,12372,1298.04,3,432.68,0.0001618472162278,0.0700280535174795,64.902,0.2033813415075927,13.199855826525784,71,52,1297.7200000000005,3,3,4,334,Loyal Accounts,22556,PLASTERS IN TIN CIRCUS PARADE,2.4
23,12373,364.6,1,364.6,5.394907207596029e-05,0.0196698316788951,18.23,0.0571267735306063,1.0414210814629543,310,14,364.6,1,1,2,112,Lost,20724,RED RETROSPOT CHARLOTTE BAG,1.2
24,12374,742.9300000000001,1,742.9300000000001,5.394907207596029e-05,0.0400803841173931,37.1465,0.1164048103650395,4.3240312882249405,24,33,742.8699999999997,4,3,3,433,Loyal Accounts,84992,72 SWEETHEART FAIRY CAKE CASES,2.4
25,12375,457.5000000000001,2,228.75000000000009,0.0001078981441519,0.0246817004747518,22.875000000000007,0.0716826628915316,1.6397409136437864,10,17,457.5000000000001,5,2,2,522,Potential Loyalist,23200,JUMBO BAG PEARS,2.1
26,12377,1628.1199999999983,2,814.0599999999993,0.0001078981441519,0.0878355632283123,81.40599999999993,0.2550994035124815,20.766622042337055,314,77,1627.0000000000002,1,4,4,144,At Risk,22540,MINI JIGSAW CIRCUS PARADE,2.0999999999999996
27,12378,4008.62,1,4008.62,5.394907207596029e-05,0.2162613293051359,200.43100000000004,0.6280842756726808,125.8875594573511,129,219,4008.3000000000015,2,5,5,255,At Risk,84568,GIRLS ALPHABET IRON ON PATCHES,3.0
28,12379,852.2399999999999,2,426.12,0.0001078981441519,0.0459775571860163,42.612,0.1335318745850904,5.690060239819873,81,40,852.2399999999998,2,3,3,233,At Risk,22740,POLKADOT PEN,1.7999999999999998
29,12380,2724.809999999999,4,681.2024999999998,0.0002157962883038,0.1470009710832973,136.24049999999997,0.4269325391769927,58.16550260374306,21,104,2724.8099999999995,4,4,5,445,Champions,22326,ROUND SNACK BOXES SET OF4 WOODLAND,3.3
30,12381,1845.3100000000015,5,369.0620000000004,0.0002697453603798,0.0995527621924903,92.26550000000007,0.2891294746674804,26.676675544932444,4,87,1845.2300000000007,5,4,4,544,Champions,22492,MINI PAINT SET VINTAGE,3.3
31,12383,1850.56,5,370.112,0.0002697453603798,0.099835994820889,92.528,0.289952062602301,26.828684448465708,184,99,1849.7999999999995,1,4,4,144,At Risk,22489,PACK OF 12 TRADITIONAL CRAYONS,2.4
32,12384,585.2700000000001,2,292.63500000000005,0.0001078981441519,0.0315747734138972,29.263500000000008,0.0917021029738288,2.6835244903746416,28,27,585.27,4,2,3,423,Promising,22632,HAND WARMER RED RETROSPOT,2.4
33,12386,401.9,2,200.95,0.0001078981441519,0.0216821320673284,20.095,0.0629710649532383,1.2654035502353247,337,10,401.9,1,1,2,112,Lost,22915,ASSORTED BOTTLE TOP  MAGNETS,0.8999999999999999
34,12388,2780.660000000002,6,463.44333333333367,0.0003236944324557,0.1500140267587398,139.0330000000001,0.4356833079693255,60.57435735689928,15,100,2780.6400000000003,4,4,5,445,Champions,22338,STAR DECORATION PAINTED ZINC,2.9999999999999996
35,12390,549.8399999999999,1,549.8399999999999,5.394907207596029e-05,0.029663357790246,27.492,0.0861508095394092,2.368458055857438,79,32,549.6,2,3,3,233,At Risk,22492,MINI PAINT SET VINTAGE,2.0999999999999996
36,12391,460.88999999999993,1,460.88999999999993,5.394907207596029e-05,0.0248645878290893,23.0445,0.0722138196723016,1.6641313674383549,21,93,438.94,4,4,2,442,Low Spenders,16238,PARTY TIME PENCIL ERASERS,2.6999999999999997
37,12393,1582.6,4,395.65,0.0002157962883038,0.0853798014674147,79.13,0.2479671744090446,19.621642510987694,71,64,1582.6000000000004,3,4,4,344,Loyal Accounts,20726,LUNCH BAG WOODLAND,2.4
38,12394,1272.48,2,636.24,0.0001078981441519,0.0686491152352179,63.624,0.1993765133906363,12.685131287965849,63,27,1272.4399999999998,3,2,4,324,Potential Loyalist,23295,SET OF 12 MINI LOAF BAKING CASES,1.7999999999999998
39,12395,3018.630000000001,12,251.55250000000004,0.0006473888649115,0.162852287440656,150.93150000000003,0.4729692605120526,71.38595994297488,18,156,3017.9099999999994,4,5,5,455,Champions,22740,POLKADOT PEN,3.3
40,12397,2409.9000000000005,2,1204.9500000000005,0.0001078981441519,0.1300118687958567,120.49500000000003,0.3775913645951957,45.49787147689812,35,126,2409.26,3,5,5,355,Loyal Accounts,22099,CARAVAN SQUARE TISSUE BOX,3.3
41,12398,1635.6599999999985,1,1635.6599999999985,5.394907207596029e-05,0.0882423392317651,81.78299999999992,0.2562807964703004,20.95941237773056,45,85,1635.3399999999997,3,4,4,344,Loyal Accounts,23310,BUBBLEGUM RING ASSORTED,2.6999999999999997
42,12399,1108.65,4,277.1625,0.0002157962883038,0.0598106387570133,55.432500000000005,0.173707069321741,9.62901712017741,118,59,1108.1699999999998,2,4,4,244,At Risk,22492,MINI PAINT SET VINTAGE,2.1
43,12401,84.30000000000001,1,84.30000000000001,5.394907207596029e-05,0.0045479067760034,4.215000000000001,0.0132084119819805,0.0556734565040481,302,5,84.3,1,1,1,111,Lost,84279B,CHERRY BLOSSOM DECORATIVE FLASK,0.8999999999999999
